,original_index,Grupo_Metabolico
0,30,2. Transferasas
1,45,2. Transferasas
2,53,2. Transferasas
3,59,3. Hidrolasas
4,66,2. Transferasas
5,100,3. Hidrolasas
6,109,4. Liasas
7,112,1. Oxidorreductasas
8,117,2. Transferasas
9,121,2. Transferasas
10,124,2. Transferasas
11,128,1. Oxidorreductasas
12,150,1. Oxidorreductasas
13,181,2. Transferasas
14,187,3. Hidrolasas
15,227,3. Hidrolasas
16,228,3. Hidrolasas
17,229,3. Hidrolasas
18,230,3. Hidrolasas
19,249,3. Hidrolasas
20,250,3. Hidrolasas
21,251,3. Hidrolasas
22,257,3. Hidrolasas
23,258,2. Transferasas
24,268,3. Hidrolasas
25,279,2. Transferasas
26,283,2. Transferasas
27,286,2. Transferasas
28,287,1. Oxidorreductasas
29,297,3. Hidrolasas
30,320,3. Hidrolasas
31,326,2. Transferasas
32,327,2. Transferasas
33,338,2. Transferasas
34,340,2. Transferasas
35,345,2. Transferasas
36,390,3. Hidrolasas
37,418,2. Transferasas
38,419,3. Hidrolasas
39,421,2. Transferasas
40,422,2. Transferasas
41,430,4. Liasas
42,490,5. Isomerasas
43,498,3. Hidrolasas
44,510,6. Ligasas
45,516,6. Ligasas
46,518,5. Isomerasas
47,519,5. Isomerasas
48,532,2. Transferasas
49,537,3. Hidrolasas
50,538,1. Oxidorreductasas
51,539,2. Transferasas
52,545,2. Transferasas
53,549,2. Transferasas
54,554,2. Transferasas
55,557,4. Liasas
56,559,1. Oxidorreductasas
57,561,1. Oxidorreductasas
58,562,1. Oxidorreductasas
59,565,2. Transferasas
60,573,3. Hidrolasas
61,580,1. Oxidorreductasas
62,581,1. Oxidorreductasas
63,582,1. Oxidorreductasas
64,586,2. Transferasas
65,631,1. Oxidorreductasas
66,636,2. Transferasas
67,639,2. Transferasas
68,646,1. Oxidorreductasas
69,672,2. Transferasas
70,685,2. Transferasas
71,694,3. Hidrolasas
72,706,2. Transferasas
73,709,5. Isomerasas
74,710,2. Transferasas
