original_index,entrez_id,Grupo_Metabolico
65908,9997,Metabólico No Clasificado (Otros)
21768,9994,Metabólico No Clasificado (Otros)
65618,9993,Metabólico No Clasificado (Otros)
64919,9993,Metabólico No Clasificado (Otros)
63525,9992,Metabólico No Clasificado (Otros)
64069,9992,Metabólico No Clasificado (Otros)
51392,9990,8. Transportadores y Receptores
53541,999,Metabólico No Clasificado (Otros)
58281,9989,Metabólico No Clasificado (Otros)
25579,9988,9. Reguladores Metabólicos
27434,9988,9. Reguladores Metabólicos
17248,9987,Metabólico No Clasificado (Otros)
15982,9987,Metabólico No Clasificado (Otros)
42932,9986,3. Hidrolasas
48100,9985,Metabólico No Clasificado (Otros)
58235,9984,Metabólico No Clasificado (Otros)
15715,9982,Metabólico No Clasificado (Otros)
275,998,Metabólico No Clasificado (Otros)
44151,9976,Metabólico No Clasificado (Otros)
11439,9975,9. Reguladores Metabólicos
40179,9973,Metabólico No Clasificado (Otros)
23536,9972,Metabólico No Clasificado (Otros)
22254,9972,Metabólico No Clasificado (Otros)
43731,9971,9. Reguladores Metabólicos
3350,9970,9. Reguladores Metabólicos
58974,997,2. Transferasas
56794,9969,Metabólico No Clasificado (Otros)
35633,9968,Metabólico No Clasificado (Otros)
35632,9968,Metabólico No Clasificado (Otros)
34287,9968,Metabólico No Clasificado (Otros)
460,9967,Metabólico No Clasificado (Otros)
32475,9966,Metabólico No Clasificado (Otros)
41493,9965,Metabólico No Clasificado (Otros)
19391,9963,8. Transportadores y Receptores
62222,9962,8. Transportadores y Receptores
55032,9961,Metabólico No Clasificado (Otros)
50796,9960,3. Hidrolasas
56645,996,Metabólico No Clasificado (Otros)
43512,9958,3. Hidrolasas
15694,9957,2. Transferasas
53245,9956,2. Transferasas
56187,9955,2. Transferasas
55228,9953,2. Transferasas
53278,9951,Metabólico No Clasificado (Otros)
48494,9950,Metabólico No Clasificado (Otros)
20795,995,3. Hidrolasas
19380,995,3. Hidrolasas
35159,9949,Metabólico No Clasificado (Otros)
35709,9949,Metabólico No Clasificado (Otros)
15689,9948,Metabólico No Clasificado (Otros)
17093,9948,Metabólico No Clasificado (Otros)
34590,9947,Metabólico No Clasificado (Otros)
64436,9946,Metabólico No Clasificado (Otros)
19687,9945,2. Transferasas
11498,9943,2. Transferasas
11501,9942,2. Transferasas
11503,9941,Metabólico No Clasificado (Otros)
13540,9940,Metabólico No Clasificado (Otros)
11496,9940,Metabólico No Clasificado (Otros)
13539,9940,Metabólico No Clasificado (Otros)
61689,994,3. Hidrolasas
1070,9939,Metabólico No Clasificado (Otros)
6719,9938,Metabólico No Clasificado (Otros)
38234,9937,Metabólico No Clasificado (Otros)
62474,9935,9. Reguladores Metabólicos
13162,9934,Metabólico No Clasificado (Otros)
31847,9933,Metabólico No Clasificado (Otros)
56831,9931,Metabólico No Clasificado (Otros)
57771,9931,Metabólico No Clasificado (Otros)
57772,9931,Metabólico No Clasificado (Otros)
12652,993,3. Hidrolasas
65214,9929,3. Hidrolasas
3603,9928,Metabólico No Clasificado (Otros)
151,9927,Metabólico No Clasificado (Otros)
3722,9926,Metabólico No Clasificado (Otros)
32044,9925,9. Reguladores Metabólicos
46139,9924,3. Hidrolasas
277,9923,9. Reguladores Metabólicos
12470,9922,Metabólico No Clasificado (Otros)
43898,9921,2. Transferasas
28413,9920,Metabólico No Clasificado (Otros)
32688,9919,Metabólico No Clasificado (Otros)
32687,9919,Metabólico No Clasificado (Otros)
43061,9918,Metabólico No Clasificado (Otros)
1509,9917,Metabólico No Clasificado (Otros)
50958,9915,9. Reguladores Metabólicos
53634,9914,7. Translocasas
7981,9913,Metabólico No Clasificado (Otros)
55222,9912,Metabólico No Clasificado (Otros)
55223,9912,Metabólico No Clasificado (Otros)
1666,9911,Metabólico No Clasificado (Otros)
1487,9910,Metabólico No Clasificado (Otros)
534,991,Metabólico No Clasificado (Otros)
3212,9909,Metabólico No Clasificado (Otros)
15950,9908,Metabólico No Clasificado (Otros)
25123,9907,Metabólico No Clasificado (Otros)
55092,9905,Metabólico No Clasificado (Otros)
57457,9905,Metabólico No Clasificado (Otros)
44922,9904,Metabólico No Clasificado (Otros)
2106,9903,Metabólico No Clasificado (Otros)
55805,9902,Metabólico No Clasificado (Otros)
14624,9901,Metabólico No Clasificado (Otros)
3131,9900,8. Transportadores y Receptores
55550,990,Metabólico No Clasificado (Otros)
52554,9899,8. Transportadores y Receptores
51084,9899,8. Transportadores y Receptores
4669,9898,Metabólico No Clasificado (Otros)
4671,9898,Metabólico No Clasificado (Otros)
1241,9898,Metabólico No Clasificado (Otros)
21847,9896,Metabólico No Clasificado (Otros)
48700,9895,Metabólico No Clasificado (Otros)
53041,9894,Metabólico No Clasificado (Otros)
22852,9892,Metabólico No Clasificado (Otros)
44846,9891,2. Transferasas
875,9890,Metabólico No Clasificado (Otros)
64844,9889,9. Reguladores Metabólicos
1549,9887,Metabólico No Clasificado (Otros)
37898,9886,Metabólico No Clasificado (Otros)
39221,9886,Metabólico No Clasificado (Otros)
62125,9885,Metabólico No Clasificado (Otros)
25493,9883,Metabólico No Clasificado (Otros)
46962,9882,Metabólico No Clasificado (Otros)
12564,9881,Metabólico No Clasificado (Otros)
44550,9880,9. Reguladores Metabólicos
21594,988,Metabólico No Clasificado (Otros)
20938,9879,5. Isomerasas
48032,9878,9. Reguladores Metabólicos
63779,9875,Metabólico No Clasificado (Otros)
64299,9875,Metabólico No Clasificado (Otros)
8786,9874,2. Transferasas
41536,9873,Metabólico No Clasificado (Otros)
16139,9871,Metabólico No Clasificado (Otros)
49214,9870,2. Transferasas
16274,987,Metabólico No Clasificado (Otros)
1170,9869,2. Transferasas
20096,9867,2. Transferasas
19219,9867,2. Transferasas
42513,9866,Metabólico No Clasificado (Otros)
40880,9866,Metabólico No Clasificado (Otros)
40881,9866,Metabólico No Clasificado (Otros)
26260,9865,Metabólico No Clasificado (Otros)
26568,9863,Metabólico No Clasificado (Otros)
56486,9862,Metabólico No Clasificado (Otros)
12791,9861,Metabólico No Clasificado (Otros)
978,9860,Metabólico No Clasificado (Otros)
15264,9859,Metabólico No Clasificado (Otros)
3956,9859,Metabólico No Clasificado (Otros)
31772,9858,Metabólico No Clasificado (Otros)
1521,9857,Metabólico No Clasificado (Otros)
22285,9856,Metabólico No Clasificado (Otros)
7772,9855,Metabólico No Clasificado (Otros)
11150,9855,Metabólico No Clasificado (Otros)
11151,9855,Metabólico No Clasificado (Otros)
40587,9854,8. Transportadores y Receptores
31177,9853,Metabólico No Clasificado (Otros)
12566,9852,Metabólico No Clasificado (Otros)
56104,9851,Metabólico No Clasificado (Otros)
37268,9849,Metabólico No Clasificado (Otros)
37269,9849,Metabólico No Clasificado (Otros)
38786,9849,Metabólico No Clasificado (Otros)
16367,9848,Metabólico No Clasificado (Otros)
44243,9847,Metabólico No Clasificado (Otros)
41610,9846,Metabólico No Clasificado (Otros)
26312,9844,Metabólico No Clasificado (Otros)
27886,9844,Metabólico No Clasificado (Otros)
34262,9843,1. Oxidorreductasas
35627,9843,1. Oxidorreductasas
57440,9842,Metabólico No Clasificado (Otros)
22942,9841,9. Reguladores Metabólicos
44513,9840,Metabólico No Clasificado (Otros)
2058,984,2. Transferasas
5123,984,2. Transferasas
10870,9839,9. Reguladores Metabólicos
10867,9839,9. Reguladores Metabólicos
61817,9837,Metabólico No Clasificado (Otros)
51475,9836,2. Transferasas
31199,9833,2. Transferasas
19458,9832,Metabólico No Clasificado (Otros)
29210,9831,9. Reguladores Metabólicos
29211,9831,9. Reguladores Metabólicos
32364,9830,Metabólico No Clasificado (Otros)
36969,983,2. Transferasas
716,9829,Metabólico No Clasificado (Otros)
42249,9828,Metabólico No Clasificado (Otros)
40280,9828,Metabólico No Clasificado (Otros)
31185,9827,Metabólico No Clasificado (Otros)
3285,9826,Metabólico No Clasificado (Otros)
62558,9825,Metabólico No Clasificado (Otros)
50444,9824,Metabólico No Clasificado (Otros)
35111,9823,Metabólico No Clasificado (Otros)
29579,9821,Metabólico No Clasificado (Otros)
